test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_11177_01,Verify the tutorial pop-up can be closed by tapping the 'X' button,MobileApp,11177,modal,P1,Functional,,,Tap the 'X' button at the top right corner of the pop-up window.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_02,Verify the tutorial pop-up can be closed by tapping outside the pop-up window,MobileApp,11177,modal,P1,Functional,,,Tap outside the pop-up window.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_03,Verify the tutorial pop-up remains open if the 'X' button is tapped multiple times,MobileApp,11177,modal,P1,Functional,,,Tap the 'X' button multiple times.,The tutorial pop-up should remain open after tapping the 'X' button multiple times.
TC_11177_04,Verify the tutorial pop-up can be closed by pressing the back button,MobileApp,11177,modal,P1,Functional,,,Press the back button on the device.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_05,Verify the tutorial pop-up can be closed by pressing the home button,MobileApp,11177,modal,P1,Functional,,,Press the home button on the device.,"The tutorial pop-up should close, and the user should be returned to the home screen."
TC_11177_06,Verify the tutorial pop-up can be closed by pressing the recent apps button,MobileApp,11177,modal,P1,Functional,,,Press the recent apps button on the device.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_07,Verify the tutorial pop-up can be closed by pressing the multitasking button,MobileApp,11177,modal,P1,Functional,,,Press the multitasking button on the device.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_08,Verify the tutorial pop-up can be closed by pressing the multitasking button,MobileApp,11177,modal,P1,Functional,,,Press the multitasking button on the device.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_09,Verify the tutorial pop-up can be closed by pressing the multitasking button,MobileApp,11177,modal,P1,Functional,,,Press the multitasking button on the device.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
TC_11177_10,Verify the tutorial pop-up can be closed by pressing the multitasking button,MobileApp,11177,modal,P1,Functional,,,Press the multitasking button on the device.,"The tutorial pop-up should close, and the user should be returned to the previous screen."
