test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_11746_001,Positive Flow: Navigate to Vocabulary Screen,LanguageLearningApp,11746,mediaplayer,P1,Functional,,,Open the Language Learning App. | Navigate to the Vocabulary section.,The Vocabulary screen is displayed with the correct layout and content.
TC_11746_002,Positive Flow: Play the Key Phrase,LanguageLearningApp,11746,mediaplayer,P1,Functional,,,Ensure the Vocabulary screen is open. | Click on the circular play button.,The audio for the key phrase 'content / contente' is played.
TC_11746_003,Positive Flow: Listen to the Key Phrase,LanguageLearningApp,11746,mediaplayer,P1,Functional,,,Ensure the Vocabulary screen is open. | Click on the 'LISTEN TO THE KEY PHRASE' button.,The audio for the key phrase 'content / contente' is played.
TC_11746_004,Negative Flow: No Internet Connection,LanguageLearningApp,11746,mediaplayer,P2,Functional,Simulate a no internet connection scenario.,,Ensure the Vocabulary screen is open. | Simulate a no internet connection scenario.,The Vocabulary screen displays a message indicating no internet connection.
TC_11746_005,Boundary/Validation: Progress Bar,LanguageLearningApp,11746,mediaplayer,P2,Functional,,,Ensure the Vocabulary screen is open. | Verify the progress bar indicates 1/11.,The progress bar correctly indicates 1/11.
TC_11746_006,UI Test: Header Navigation,LanguageLearningApp,11746,mediaplayer,P2,UI,,,Ensure the Vocabulary screen is open. | Click on the back arrow in the header.,The app navigates back to the previous screen.
TC_11746_007,Accessibility Test: Play Button,LanguageLearningApp,11746,mediaplayer,P2,Accessibility,,,Ensure the Vocabulary screen is open. | Use accessibility features to interact with the play button.,The audio for the key phrase 'content / contente' is played.
TC_11746_008,Usability Test: Call-to-Action Button,LanguageLearningApp,11746,mediaplayer,P2,Usability,,,Ensure the Vocabulary screen is open. | Click on the 'LISTEN TO THE KEY PHRASE' button.,The audio for the key phrase 'content / contente' is played.
TC_11746_009,Usability Test: Progress Bar,LanguageLearningApp,11746,mediaplayer,P2,Usability,,,Ensure the Vocabulary screen is open. | Verify the progress bar indicates 1/11.,The progress bar correctly indicates 1/11.
TC_11746_010,Usability Test: Header Navigation,LanguageLearningApp,11746,mediaplayer,P2,Usability,,,Ensure the Vocabulary screen is open. | Click on the back arrow in the header.,The app navigates back to the previous screen.
