test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_10128_001,Open Help Section and Verify Navigation,Help Section,10128,list,P1,Functional,,,Open the application and navigate to the Help section. | Verify that the header shows the title 'Help' and the search icon is present.,The Help section is displayed. | The header shows the title 'Help' and the search icon is present.
TC_10128_002,Search for an Article,Help Section,10128,list,P1,Functional,,Search term: 'locations',Open the Help section. | Click on the search icon in the header. | Enter the search term 'locations' in the search bar. | Press enter to perform the search.,Search results for 'locations' are displayed.
TC_10128_003,Select an Article from the Knowledge Base,Help Section,10128,list,P1,Functional,,,Open the Help section. | Navigate to the 'Knowledge Base' section. | Select an article from the 'Locations' category.,The selected article is displayed.
TC_10128_004,Verify Article Navigation,Help Section,10128,list,P1,Functional,,,Open the Help section. | Navigate to the 'Knowledge Base' section. | Select an article from the 'Locations' category. | Navigate back to the 'Knowledge Base' section.,The 'Knowledge Base' section is displayed.
TC_10128_005,Verify Article Count,Help Section,10128,list,P1,Functional,,,Open the Help section. | Navigate to the 'Knowledge Base' section.,There are 4 articles under the 'Locations' category. | There are 5 articles under the 'Mapping' category. | There is 1 article under the 'Push Alerts' category.
TC_10128_006,Verify Footer Information,Help Section,10128,list,P1,Functional,,,Open the Help section.,The footer shows the text 'Powered by UserVoice' and 'Android SDK v1.2.5.'
TC_10128_007,Verify Search Functionality,Help Section,10128,list,P1,Functional,,Search term: 'locations',Open the Help section. | Click on the search icon in the header. | Enter the search term 'locations' in the search bar. | Press enter to perform the search.,Search results for 'locations' are displayed.
TC_10128_008,Verify Article Selection,Help Section,10128,list,P1,Functional,,,Open the Help section. | Navigate to the 'Knowledge Base' section. | Select an article from the 'Locations' category.,The selected article is displayed.
TC_10128_009,Verify Article Navigation,Help Section,10128,list,P1,Functional,,,Open the Help section. | Navigate to the 'Knowledge Base' section. | Select an article from the 'Locations' category. | Navigate back to the 'Knowledge Base' section.,The 'Knowledge Base' section is displayed.
TC_10180_01,Open the app and navigate to the MOVIES screen,MovieStreamingApp,10180,news,P0,Functional,,,Open the Movie Streaming App | Navigate to the MOVIES screen,The MOVIES screen should be displayed with a list of movies
TC_10180_02,Search for a specific movie,MovieStreamingApp,10180,news,P1,Functional,,Search term: 'Christmas on the Bayou',Click on the search icon in the header | Enter 'Christmas on the Bayou' in the search bar | Press enter to perform the search,The search results should display 'Christmas on the Bayou'
TC_10180_03,Click on a movie title to view details,MovieStreamingApp,10180,news,P1,Functional,,Movie title: 'Christmas on the Bayou',Click on the title 'Christmas on the Bayou',The app should navigate to the movie details page for 'Christmas on the Bayou'
TC_10180_04,Check if the app can handle empty search results,MovieStreamingApp,10180,news,P1,Functional,,Search term: 'Nonexistent Movie',Click on the search icon in the header | Enter 'Nonexistent Movie' in the search bar | Press enter to perform the search,The app should display a message indicating no results found
TC_10180_05,Check if the app can handle invalid search terms,MovieStreamingApp,10180,news,P1,Functional,,Search term: '12345',Click on the search icon in the header | Enter '12345' in the search bar | Press enter to perform the search,The app should display a message indicating an invalid search term
TC_10180_06,Check if the app can handle navigation between screens,MovieStreamingApp,10180,news,P1,Functional,,,Navigate to the MOVIES screen | Click on the title 'Christmas on the Bayou' | Navigate back to the MOVIES screen,The MOVIES screen should be displayed again
TC_10180_07,Check if the app can handle data persistence,MovieStreamingApp,10180,news,P1,Functional,,,Navigate to the MOVIES screen | Click on the title 'Christmas on the Bayou' | Navigate back to the MOVIES screen | Close the app and reopen it | Navigate to the MOVIES screen,The MOVIES screen should be displayed with the same list of movies
TC_10180_08,Check if the app can handle interruption and resume,MovieStreamingApp,10180,news,P1,Functional,,,"Navigate to the MOVIES screen | Click on the title 'Christmas on the Bayou' | Simulate an interruption (e.g., phone call) | Resume the app | Navigate back to the MOVIES screen",The MOVIES screen should be displayed with the same list of movies
TC_10183_001,Positive flow: User is redirected to provider for login,Authentication,10183,bare,P1,Functional,User is logged out of the app,,Open the app | Wait for the loading screen to appear | Verify the message 'Please wait while we send you to your provider to log in...' is displayed | Wait for the app to redirect the user to the provider's login page,User is redirected to the provider's login page
TC_10183_002,Negative flow: User cancels the redirection,Authentication,10183,bare,P1,Functional,User is logged out of the app,,Open the app | Wait for the loading screen to appear | Click on the 'Cancel' button | Verify the message 'Please wait while we send you to your provider to log in...' is still displayed | Wait for the app to redirect the user to the provider's login page,User is not redirected to the provider's login page
TC_10183_003,Negative flow: User cancels the redirection multiple times,Authentication,10183,bare,P1,Functional,User is logged out of the app,,Open the app | Wait for the loading screen to appear | Click on the 'Cancel' button | Verify the message 'Please wait while we send you to your provider to log in...' is still displayed | Click on the 'Cancel' button again | Verify the message 'Please wait while we send you to your provider to log in...' is still displayed | Wait for the app to redirect the user to the provider's login page,User is not redirected to the provider's login page
TC_10183_004,Negative flow: No internet connection,Authentication,10183,bare,P1,Functional,User is logged out of the app and there is no internet connection,,Open the app | Wait for the loading screen to appear | Verify the message 'Please wait while we send you to your provider to log in...' is displayed | Wait for the app to redirect the user to the provider's login page,User is not redirected to the provider's login page
TC_10183_005,Negative flow: App crashes during redirection,Authentication,10183,bare,P1,Functional,User is logged out of the app,,Open the app | Wait for the loading screen to appear | Verify the message 'Please wait while we send you to your provider to log in...' is displayed | Wait for the app to redirect the user to the provider's login page,App does not crash during redirection
TC_10183_006,Negative flow: App crashes during cancellation,Authentication,10183,bare,P1,Functional,User is logged out of the app,,Open the app | Wait for the loading screen to appear | Click on the 'Cancel' button | Verify the message 'Please wait while we send you to your provider to log in...' is still displayed | Click on the 'Cancel' button again | Verify the message 'Please wait while we send you to your provider to log in...' is still displayed | Wait for the app to redirect the user to the provider's login page,App does not crash during cancellation
TC_10183_007,Negative flow: App crashes during message display,Authentication,10183,bare,P1,Functional,User is logged out of the app,,Open the app | Wait for the loading screen to appear | Verify the message 'Please wait while we send you to your provider to log in...' is displayed | Wait for the app to redirect the user to the provider's login page,App does not crash during message display
TC_10208_01,Register with Facebook - Positive Flow,Authentication,10208,login,P1,Functional,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Facebook' button.,The user should be redirected to the Facebook login page.
TC_10208_02,Register with Google - Positive Flow,Authentication,10208,login,P1,Functional,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Google' button.,The user should be redirected to the Google login page.
TC_10208_03,Register with Email Address - Positive Flow,Authentication,10208,login,P1,Functional,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Email Address' button.,The user should be redirected to the email registration form.
TC_10208_04,Register with Facebook - Negative Flow,Authentication,10208,login,P2,Negative,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Facebook' button.,The user should not be redirected to the Facebook login page; an error message should be displayed.
TC_10208_05,Register with Google - Negative Flow,Authentication,10208,login,P2,Negative,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Google' button.,The user should not be redirected to the Google login page; an error message should be displayed.
TC_10208_06,Register with Email Address - Negative Flow,Authentication,10208,login,P2,Negative,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Email Address' button.,The user should not be redirected to the email registration form; an error message should be displayed.
TC_10208_07,Register with Facebook - Boundary/Validation,Authentication,10208,login,P2,Functional,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Facebook' button.,The user should be redirected to the Facebook login page with the correct parameters.
TC_10208_08,Register with Google - Boundary/Validation,Authentication,10208,login,P2,Functional,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Google' button.,The user should be redirected to the Google login page with the correct parameters.
TC_10208_09,Register with Email Address - Boundary/Validation,Authentication,10208,login,P2,Functional,The user is on the registration page for the 'buzzMuslim' app.,,Open the 'buzzMuslim' app. | Click on the 'Register with Email Address' button.,The user should be redirected to the email registration form with the correct parameters.
TC_10214_01,Verify that the 'Continue' button navigates to the next sign-up page,Authentication,10214,login,P1,Functional,,,Click on the 'Continue' button.,The user is redirected to the next sign-up page.
TC_10214_02,Verify that clicking the 'Sign Out' button logs the user out,Authentication,10214,login,P1,Functional,,,Click on the 'Sign Out' button.,The user is logged out of the app.
TC_10214_03,Verify that the subtitle text is displayed correctly,Authentication,10214,login,P2,UI,,,"Verify that the subtitle text 'In the next steps, you will enter your BuzzMuslim profile. This should not take more than 2 minutes, after that you are ready to meet new people!' is displayed correctly.",The subtitle text is displayed correctly.
TC_10214_04,Verify that the 'Continue' button is clickable,Authentication,10214,login,P2,UI,,,Verify that the 'Continue' button is clickable.,The 'Continue' button is clickable.
TC_10214_05,Verify that the 'Sign Out' button is clickable,Authentication,10214,login,P2,UI,,,Verify that the 'Sign Out' button is clickable.,The 'Sign Out' button is clickable.
TC_10214_06,Verify that the status bar icons and time are displayed correctly,Authentication,10214,login,P2,UI,,,Verify that the status bar icons and time are displayed correctly.,The status bar icons and time are displayed correctly.
TC_10214_07,Verify that the app bar title 'Signup' is displayed correctly,Authentication,10214,login,P2,UI,,,Verify that the app bar title 'Signup' is displayed correctly.,The app bar title 'Signup' is displayed correctly.
TC_10214_08,Verify that the subtitle text is accessible,Authentication,10214,login,P2,Accessibility,,,"Verify that the subtitle text 'In the next steps, you will enter your BuzzMuslim profile. This should not take more than 2 minutes, after that you are ready to meet new people!' is accessible.",The subtitle text is accessible.
TC_10214_09,Verify that the 'Continue' button is accessible,Authentication,10214,login,P2,Accessibility,,,Verify that the 'Continue' button is accessible.,The 'Continue' button is accessible.
TC_10214_10,Verify that the 'Sign Out' button is accessible,Authentication,10214,login,P2,Accessibility,,,Verify that the 'Sign Out' button is accessible.,The 'Sign Out' button is accessible.
TC_1028_01,Enable/Disable Toggle Switches,WeatherNotifications,1028,list,P1,Functional,,,Navigate to the Weather Notifications screen. | Click on each toggle switch to enable and disable the weather alerts. | Verify that the toggle switches reflect the correct state.,Each toggle switch should toggle between enabled and disabled states.
